persentase_kehadiran,rata_rata_nilai,tren_nilai,jumlah_mapel_di_bawah_kkm,status_kip,jarak_rumah_km,jumlah_pelanggaran,pekerjaan_ortu,pendidikan_ortu,jumlah_saudara,putus_sekolah,sumber,id_siswa,nama,kelas,angkatan
0.0,0.0,0.0,0,0,2.3,0,2,4,1,1,UCI_Dropout,STU0001,Andi,X TKJ 1,2023
100.0,100.0,-4.2,0,0,15.1,0,1,1,2,0,UCI_Dropout,STU0002,Budi,X TKJ 2,2023
0.0,0.0,0.0,6,0,6.6,0,2,4,2,1,UCI_Dropout,STU0003,Citra,X RPL 1,2023
100.0,100.0,-10.0,0,0,4.6,0,1,4,1,0,UCI_Dropout,STU0004,Dewi,X RPL 2,2023
83.3,100.0,8.3,1,0,0.5,0,2,4,5,0,UCI_Dropout,STU0005,Eka,X AKL 1,2023
100.0,100.0,-4.5,0,0,3.2,5,2,4,0,0,UCI_Dropout,STU0006,Fajar,XI TKJ 1,2022
100.0,100.0,10.0,0,1,1.0,0,2,4,4,0,UCI_Dropout,STU0007,Gita,XI TKJ 2,2022
0.0,0.0,0.0,5,0,10.1,0,2,4,3,1,UCI_Dropout,STU0008,Hadi,XI RPL 1,2022
100.0,100.0,3.3,0,1,1.3,0,2,1,2,0,UCI_Dropout,STU0009,Indah,XI RPL 2,2022
83.3,100.0,10.0,1,0,6.2,0,2,1,2,1,UCI_Dropout,STU0010,Joko,XI AKL 1,2022
100.0,100.0,10.0,0,0,1.0,0,2,4,2,0,UCI_Dropout,STU0011,Kartika,XII TKJ 1,2021
87.5,100.0,0.0,1,1,17.5,0,2,4,5,0,UCI_Dropout,STU0012,Lukman,XII TKJ 2,2021
0.0,0.0,0.0,6,0,8.9,0,2,4,1,1,UCI_Dropout,STU0013,Maya,XII RPL 1,2021
100.0,100.0,5.4,0,1,1.2,0,2,1,3,0,UCI_Dropout,STU0014,Nanda,XII RPL 2,2021
80.0,100.0,-10.0,1,1,1.0,0,1,4,1,0,UCI_Dropout,STU0015,Omar,XII AKL 1,2021
83.3,100.0,-10.0,1,0,1.0,0,1,4,1,1,UCI_Dropout,STU0016,Putri,X TKJ 1,2023
16.7,100.0,-10.0,5,0,1.8,0,2,4,6,0,UCI_Dropout,STU0017,Rizky,X TKJ 2,2023
100.0,100.0,10.0,0,0,3.7,0,1,4,7,0,UCI_Dropout,STU0018,Sari,X RPL 1,2023
80.0,100.0,-3.1,1,0,2.8,3,1,2,1,0,UCI_Dropout,STU0019,Tono,X RPL 2,2023
85.7,100.0,10.0,1,0,1.7,0,2,4,4,0,UCI_Dropout,STU0020,Ulya,X AKL 1,2023
0.0,0.0,0.0,0,1,1.1,0,2,1,0,0,UCI_Dropout,STU0021,Vina,XI TKJ 1,2022
100.0,100.0,-0.2,0,0,1.0,0,2,1,2,0,UCI_Dropout,STU0022,Wahyu,XI TKJ 2,2022
87.5,100.0,0.0,1,0,1.7,0,0,4,2,0,UCI_Dropout,STU0023,Xena,XI RPL 1,2022
100.0,100.0,-10.0,0,1,2.3,0,2,1,2,0,UCI_Dropout,STU0024,Yoga,XI RPL 2,2022
85.7,100.0,10.0,1,0,0.8,0,2,4,1,0,UCI_Dropout,STU0025,Zahra,XI AKL 1,2022
83.3,100.0,-7.5,1,1,7.7,0,2,4,3,0,UCI_Dropout,STU0026,Agus,XII TKJ 1,2021
100.0,100.0,10.0,0,0,1.1,0,2,4,3,0,UCI_Dropout,STU0027,Bayu,XII TKJ 2,2021
100.0,100.0,4.2,0,0,3.6,2,1,4,4,0,UCI_Dropout,STU0028,Cahaya,XII RPL 1,2021
100.0,100.0,4.2,0,0,4.5,0,2,4,4,0,UCI_Dropout,STU0029,Dimas,XII RPL 2,2021
85.7,100.0,9.8,1,0,1.0,0,2,2,1,0,UCI_Dropout,STU0030,Elin,XII AKL 1,2021
83.3,100.0,-10.0,1,0,4.0,0,0,2,2,0,UCI_Dropout,STU0031,Fadil,X TKJ 1,2023
100.0,100.0,7.1,0,0,1.0,0,2,4,4,0,UCI_Dropout,STU0032,Glen,X TKJ 2,2023
60.0,100.0,10.0,2,0,2.4,0,2,1,2,0,UCI_Dropout,STU0033,Hana,X RPL 1,2023
100.0,100.0,10.0,0,0,14.9,0,1,4,5,0,UCI_Dropout,STU0034,Irfan,X RPL 2,2023
100.0,100.0,10.0,0,0,1.1,0,2,1,1,0,UCI_Dropout,STU0035,Jasmine,X AKL 1,2023
0.0,0.0,10.0,7,0,1.6,0,2,4,1,1,UCI_Dropout,STU0036,Koko,XI TKJ 1,2022
0.0,0.0,0.0,5,0,1.8,0,0,4,2,1,UCI_Dropout,STU0037,Lestari,XI TKJ 2,2022
20.0,100.0,10.0,4,0,1.5,2,2,4,4,1,UCI_Dropout,STU0038,Mitra,XI RPL 1,2022
100.0,100.0,7.5,0,0,5.8,0,1,4,2,0,UCI_Dropout,STU0039,Nopal,XI RPL 2,2022
50.0,100.0,4.2,3,0,0.5,0,2,2,5,1,UCI_Dropout,STU0040,Olivia,XI AKL 1,2022
